"Date","variable","value","Case"
2013-05-17,"Mleaf",166.671705407454,"0"
2013-05-18,"Mleaf",168.503548821479,"0"
2013-05-19,"Mleaf",170.368664578125,"0"
2013-05-20,"Mleaf",172.145620172664,"0"
2013-05-21,"Mleaf",173.470187521254,"0"
2013-05-22,"Mleaf",174.121858814086,"0"
2013-05-23,"Mleaf",173.849970942069,"0"
2013-05-24,"Mleaf",173.53500609225,"0"
2013-05-25,"Mleaf",174.626330178462,"0"
2013-05-26,"Mleaf",176.748262241273,"0"
2013-05-27,"Mleaf",178.939414192306,"0"
2013-05-28,"Mleaf",179.388313936792,"0"
2013-05-29,"Mleaf",179.769213471662,"0"
2013-05-30,"Mleaf",180.035019156963,"0"
2013-05-31,"Mleaf",181.681017573878,"0"
2013-06-01,"Mleaf",183.469652146686,"0"
2013-06-02,"Mleaf",182.999416467624,"0"
2013-06-03,"Mleaf",182.575788320035,"0"
2013-06-04,"Mleaf",185.198680592269,"0"
2013-06-05,"Mleaf",187.404065020719,"0"
2013-06-06,"Mleaf",188.417268763047,"0"
2013-06-07,"Mleaf",187.7013006204,"0"
2013-06-08,"Mleaf",188.234326633417,"0"
2013-06-09,"Mleaf",189.03341973818,"0"
2013-06-10,"Mleaf",191.071799630572,"0"
2013-06-11,"Mleaf",191.597402540165,"0"
2013-06-12,"Mleaf",193.819435742186,"0"
2013-06-13,"Mleaf",193.268866099426,"0"
2013-06-14,"Mleaf",194.854841246935,"0"
2013-06-15,"Mleaf",197.127439827907,"0"
2013-06-16,"Mleaf",199.027149507591,"0"
2013-06-17,"Mleaf",201.395512124998,"0"
2013-06-18,"Mleaf",202.479282629731,"0"
2013-06-19,"Mleaf",204.601096259014,"0"
2013-06-20,"Mleaf",206.022000912408,"0"
2013-06-21,"Mleaf",207.557948136105,"0"
2013-06-22,"Mleaf",209.14149934187,"0"
2013-06-23,"Mleaf",210.25956704009,"0"
2013-06-24,"Mleaf",209.716973226226,"0"
2013-06-25,"Mleaf",209.576415819866,"0"
2013-06-26,"Mleaf",208.886474881181,"0"
2013-06-27,"Mleaf",209.595724119939,"0"
2013-06-28,"Mleaf",210.278448255577,"0"
2013-06-29,"Mleaf",211.091119831869,"0"
2013-06-30,"Mleaf",210.128429615004,"0"
2013-07-01,"Mleaf",211.47542980386,"0"
