"Cstorage","Date","Case"
48.8889141258938,2013-07-14,"0"
50.5632586225564,2013-07-15,"0"
46.0082959146451,2013-07-16,"0"
46.2139844577162,2013-07-17,"0"
46.9206790966702,2013-07-18,"0"
47.3868357499879,2013-07-19,"0"
42.2138445165753,2013-07-20,"0"
47.0937316576153,2013-07-21,"0"
52.7140004844044,2013-07-22,"0"
56.0674054647917,2013-07-23,"0"
57.7551788677462,2013-07-24,"0"
59.1990664913199,2013-07-25,"0"
61.8561858188527,2013-07-26,"0"
63.7114752206316,2013-07-27,"0"
65.4733108422943,2013-07-28,"0"
64.6611377207,2013-07-29,"0"
65.2533628237454,2013-07-30,"0"
61.9628801105333,2013-07-31,"0"
54.5595906669226,2013-08-01,"0"
59.0518937044088,2013-08-02,"0"
60.6831590770245,2013-08-03,"0"
64.2644322235538,2013-08-04,"0"
65.8931459567377,2013-08-05,"0"
68.4807127490749,2013-08-06,"0"
69.3136020901527,2013-08-07,"0"
70.5994332226952,2013-08-08,"0"
66.8964271220837,2013-08-09,"0"
69.4627837103256,2013-08-10,"0"
72.8343808572662,2013-08-11,"0"
76.3569515308863,2013-08-12,"0"
75.6742584602349,2013-08-13,"0"
78.8501741554439,2013-08-14,"0"
80.5544914000464,2013-08-15,"0"
84.218010839447,2013-08-16,"0"
87.7776128257561,2013-08-17,"0"
88.9039175143349,2013-08-18,"0"
91.2537292739646,2013-08-19,"0"
94.2160752791789,2013-08-20,"0"
97.532706328053,2013-08-21,"0"
97.9233365368352,2013-08-22,"0"
94.8358447689883,2013-08-23,"0"
87.8699186006668,2013-08-24,"0"
91.5419161561521,2013-08-25,"0"
94.0684071470635,2013-08-26,"0"
96.2069735849758,2013-08-27,"0"
98.5438674576761,2013-08-28,"0"
101.036535478812,2013-08-29,"0"
101.041761957904,2013-08-30,"0"
100.776683694091,2013-08-31,"0"
100.217559148646,2013-09-01,"0"
101.96160781437,2013-09-02,"0"
104.49391150049,2013-09-03,"0"
106.855087944403,2013-09-04,"0"
109.140484062555,2013-09-05,"0"
109.379071732077,2013-09-06,"0"
108.16692808723,2013-09-07,"0"
106.742378965155,2013-09-08,"0"
101.24883680374,2013-09-09,"0"
101.578787924767,2013-09-10,"0"
104.882625399441,2013-09-11,"0"
109.704610178829,2013-09-12,"0"
115.461594386076,2013-09-13,"0"
116.914808881679,2013-09-14,"0"
115.312567739329,2013-09-15,"0"
117.55018500014,2013-09-16,"0"
103.666094826395,2013-09-17,"0"
105.929198430777,2013-09-18,"0"
109.605952294707,2013-09-19,"0"
117.049941905902,2013-09-20,"0"
124.011638135798,2013-09-21,"0"
130.134953456383,2013-09-22,"0"
132.724303393359,2013-09-23,"0"
135.746143541334,2013-09-24,"0"
130.671147926368,2013-09-25,"0"
131.232705166243,2013-09-26,"0"
134.774160919774,2013-09-27,"0"
141.35540330597,2013-09-28,"0"
144.739105496861,2013-09-29,"0"
149.420867706228,2013-09-30,"0"
150.460789391925,2013-10-01,"0"
143.858933475266,2013-10-02,"0"
148.893029680876,2013-10-03,"0"
144.982897119541,2013-10-04,"0"
150.838263843548,2013-10-05,"0"
151.535119064294,2013-10-06,"0"
155.19585924664,2013-10-07,"0"
155.537197683336,2013-10-08,"0"
157.711717525705,2013-10-09,"0"
157.642573997469,2013-10-10,"0"
150.395934165873,2013-10-11,"0"
154.810731335307,2013-10-12,"0"
156.221385920864,2013-10-13,"0"
154.385536984019,2013-10-14,"0"
162.701663199385,2013-10-15,"0"
171.374511733038,2013-10-16,"0"
174.284382685546,2013-10-17,"0"
166.609459224775,2013-10-18,"0"
171.821072463172,2013-10-19,"0"
177.29655382583,2013-10-20,"0"
172.834903601382,2013-10-21,"0"
162.72824208089,2013-10-22,"0"
149.455386049429,2013-10-23,"0"
150.942363194438,2013-10-24,"0"
161.203258749936,2013-10-25,"0"
165.186392605324,2013-10-26,"0"
174.706514304265,2013-10-27,"0"
177.352607270824,2013-10-28,"0"
174.144469433885,2013-10-29,"0"
161.464524300904,2013-10-30,"0"
170.287224811491,2013-10-31,"0"
176.136828131285,2013-11-01,"0"
177.266454301644,2013-11-02,"0"
174.891836327615,2013-11-03,"0"
169.991125980972,2013-11-04,"0"
182.287965347149,2013-11-05,"0"
183.769555570962,2013-11-06,"0"
191.587880110182,2013-11-07,"0"
191.773618859032,2013-11-08,"0"
183.778519419814,2013-11-09,"0"
182.718682877535,2013-11-10,"0"
166.384247922835,2013-11-11,"0"
160.075985806161,2013-11-12,"0"
161.777775777054,2013-11-13,"0"
172.64838986581,2013-11-14,"0"
183.741536493033,2013-11-15,"0"
184.493457229168,2013-11-16,"0"
177.549942456281,2013-11-17,"0"
163.680584492699,2013-11-18,"0"
150.034849605131,2013-11-19,"0"
164.121634024283,2013-11-20,"0"
176.595189775194,2013-11-21,"0"
181.209382330378,2013-11-22,"0"
168.899299654825,2013-11-23,"0"
173.722951126353,2013-11-24,"0"
188.054450933186,2013-11-25,"0"
196.820444619399,2013-11-26,"0"
209.611351506455,2013-11-27,"0"
219.692910863273,2013-11-28,"0"
219.509011533191,2013-11-29,"0"
202.168440128319,2013-11-30,"0"
207.816221606076,2013-12-01,"0"
215.880733138469,2013-12-02,"0"
224.891746507634,2013-12-03,"0"
233.577230379575,2013-12-04,"0"
232.11547742695,2013-12-05,"0"
240.717243663395,2013-12-06,"0"
253.456548681539,2013-12-07,"0"
262.192929194953,2013-12-08,"0"
268.070290080566,2013-12-09,"0"
254.936022919015,2013-12-10,"0"
257.862086086902,2013-12-11,"0"
267.52557103415,2013-12-12,"0"
276.739072005327,2013-12-13,"0"
285.545840856996,2013-12-14,"0"
278.435126509164,2013-12-15,"0"
281.69098902636,2013-12-16,"0"
285.268826250677,2013-12-17,"0"
294.560965181429,2013-12-18,"0"
297.594464644989,2013-12-19,"0"
299.999873533601,2013-12-20,"0"
289.838219178813,2013-12-21,"0"
296.118826214512,2013-12-22,"0"
289.426909891579,2013-12-23,"0"
275.946860915781,2013-12-24,"0"
262.448447620797,2013-12-25,"0"
243.73769852535,2013-12-26,"0"
260.98732768213,2013-12-27,"0"
270.119318443803,2013-12-28,"0"
279.325035884063,2013-12-29,"0"
293.915168507886,2013-12-30,"0"
295.866766942226,2013-12-31,"0"
304.114305362456,2014-01-01,"0"
304.788546347191,2014-01-02,"0"
287.504537222592,2014-01-03,"0"
285.383905983183,2014-01-04,"0"
297.712961738536,2014-01-05,"0"
310.430551075342,2014-01-06,"0"
319.131741178817,2014-01-07,"0"
302.722866891299,2014-01-08,"0"
284.439814944465,2014-01-09,"0"
275.380186058513,2014-01-10,"0"
278.337364752684,2014-01-11,"0"
280.482174591902,2014-01-12,"0"
284.859698382606,2014-01-13,"0"
295.513298305235,2014-01-14,"0"
303.717429347911,2014-01-15,"0"
309.845736074478,2014-01-16,"0"
315.276297304178,2014-01-17,"0"
321.804800322629,2014-01-18,"0"
323.52917854833,2014-01-19,"0"
331.449664717194,2014-01-20,"0"
322.121444707262,2014-01-21,"0"
313.727310445339,2014-01-22,"0"
285.369762959882,2014-01-23,"0"
274.340291723363,2014-01-24,"0"
272.76800901059,2014-01-25,"0"
276.216338348978,2014-01-26,"0"
262.493118514877,2014-01-27,"0"
282.009944848242,2014-01-28,"0"
294.975478778137,2014-01-29,"0"
301.762111914408,2014-01-30,"0"
312.80510684831,2014-01-31,"0"
314.525595626142,2014-02-01,"0"
314.647648124056,2014-02-02,"0"
318.349434228655,2014-02-03,"0"
328.32578430659,2014-02-04,"0"
311.119728280855,2014-02-05,"0"
305.346205594211,2014-02-06,"0"
307.744913029271,2014-02-07,"0"
319.267693660002,2014-02-08,"0"
323.56840317435,2014-02-09,"0"
