"Date","variable","value","treatment","treat.type","no.param"
2013-05-07,"Mleaf.modelled",32.3432071321118,"ambient","1","4"
2013-05-08,"Mleaf.modelled",32.6625706965764,"ambient","1","4"
2013-05-09,"Mleaf.modelled",33.3086663398892,"ambient","1","4"
2013-05-10,"Mleaf.modelled",33.8356782469649,"ambient","1","4"
2013-05-11,"Mleaf.modelled",34.4003666360898,"ambient","1","4"
2013-05-12,"Mleaf.modelled",34.8234578460047,"ambient","1","4"
2013-05-13,"Mleaf.modelled",35.331899157776,"ambient","1","4"
2013-05-14,"Mleaf.modelled",35.5161865554379,"ambient","1","4"
2013-05-15,"Mleaf.modelled",36.1338696116548,"ambient","1","4"
2013-05-16,"Mleaf.modelled",36.7627574903406,"ambient","1","4"
2013-05-17,"Mleaf.modelled",37.4208817295151,"ambient","1","4"
2013-05-18,"Mleaf.modelled",38.2655677179394,"ambient","1","4"
2013-05-19,"Mleaf.modelled",39.0770959341756,"ambient","1","4"
2013-05-20,"Mleaf.modelled",39.8418664042233,"ambient","1","4"
2013-05-21,"Mleaf.modelled",40.4462594818623,"ambient","1","4"
2013-05-22,"Mleaf.modelled",40.8794228139947,"ambient","1","4"
2013-05-23,"Mleaf.modelled",40.8836582924657,"ambient","1","4"
2013-05-24,"Mleaf.modelled",40.9099940456483,"ambient","1","4"
2013-05-25,"Mleaf.modelled",41.491279620699,"ambient","1","4"
2013-05-26,"Mleaf.modelled",42.4654004198186,"ambient","1","4"
2013-05-27,"Mleaf.modelled",43.4154361449599,"ambient","1","4"
2013-05-28,"Mleaf.modelled",43.762418828113,"ambient","1","4"
2013-05-29,"Mleaf.modelled",44.084953461695,"ambient","1","4"
2013-05-30,"Mleaf.modelled",44.3496000781717,"ambient","1","4"
2013-05-31,"Mleaf.modelled",45.1866389661168,"ambient","1","4"
2013-06-01,"Mleaf.modelled",46.0992707441657,"ambient","1","4"
2013-06-02,"Mleaf.modelled",46.1030533432623,"ambient","1","4"
2013-06-03,"Mleaf.modelled",46.0533601942493,"ambient","1","4"
2013-06-04,"Mleaf.modelled",47.3197165320536,"ambient","1","4"
2013-06-05,"Mleaf.modelled",48.4144540091337,"ambient","1","4"
2013-06-06,"Mleaf.modelled",49.0128767993248,"ambient","1","4"
2013-06-07,"Mleaf.modelled",48.8834702786743,"ambient","1","4"
2013-06-08,"Mleaf.modelled",49.3435538639536,"ambient","1","4"
2013-06-09,"Mleaf.modelled",49.8674024082033,"ambient","1","4"
2013-06-10,"Mleaf.modelled",50.9264078904974,"ambient","1","4"
2013-06-11,"Mleaf.modelled",51.3023666415618,"ambient","1","4"
2013-06-12,"Mleaf.modelled",52.4639942199393,"ambient","1","4"
2013-06-13,"Mleaf.modelled",52.392228872063,"ambient","1","4"
2013-06-14,"Mleaf.modelled",53.3002987984666,"ambient","1","4"
2013-06-15,"Mleaf.modelled",54.5542466953386,"ambient","1","4"
2013-06-16,"Mleaf.modelled",55.6824022916799,"ambient","1","4"
2013-06-17,"Mleaf.modelled",56.9506469703573,"ambient","1","4"
2013-06-18,"Mleaf.modelled",57.6531438835166,"ambient","1","4"
2013-06-19,"Mleaf.modelled",58.7891154977395,"ambient","1","4"
2013-06-20,"Mleaf.modelled",59.7053118467187,"ambient","1","4"
2013-06-21,"Mleaf.modelled",60.6459352127335,"ambient","1","4"
2013-06-22,"Mleaf.modelled",61.6018719435335,"ambient","1","4"
2013-06-23,"Mleaf.modelled",62.2866143561767,"ambient","1","4"
2013-06-24,"Mleaf.modelled",62.2429226368806,"ambient","1","4"
2013-06-25,"Mleaf.modelled",62.3734774575414,"ambient","1","4"
2013-06-26,"Mleaf.modelled",62.2152232052525,"ambient","1","4"
2013-06-27,"Mleaf.modelled",62.8441101418522,"ambient","1","4"
2013-06-28,"Mleaf.modelled",63.4473344897941,"ambient","1","4"
2013-06-29,"Mleaf.modelled",64.1301903328673,"ambient","1","4"
2013-06-30,"Mleaf.modelled",63.7678252994689,"ambient","1","4"
2013-07-01,"Mleaf.modelled",64.6823129421197,"ambient","1","4"
2013-07-02,"Mleaf.modelled",66.4671318321974,"ambient","1","4"
2013-07-03,"Mleaf.modelled",68.3317369882982,"ambient","1","4"
2013-07-04,"Mleaf.modelled",69.9711369900142,"ambient","1","4"
2013-07-05,"Mleaf.modelled",71.5526933035467,"ambient","1","4"
2013-07-06,"Mleaf.modelled",73.2345659884689,"ambient","1","4"
2013-07-07,"Mleaf.modelled",74.7870020773431,"ambient","1","4"
2013-07-08,"Mleaf.modelled",76.2465698050304,"ambient","1","4"
2013-07-09,"Mleaf.modelled",77.5889494248289,"ambient","1","4"
2013-07-10,"Mleaf.modelled",77.9677421049155,"ambient","1","4"
2013-07-11,"Mleaf.modelled",78.3105540366449,"ambient","1","4"
2013-07-12,"Mleaf.modelled",79.7019253719131,"ambient","1","4"
2013-07-13,"Mleaf.modelled",80.3391663591944,"ambient","1","4"
2013-07-14,"Mleaf.modelled",81.1172657211804,"ambient","1","4"
2013-07-15,"Mleaf.modelled",82.5451365137509,"ambient","1","4"
2013-07-16,"Mleaf.modelled",82.6945982594848,"ambient","1","4"
2013-07-17,"Mleaf.modelled",83.8345313066961,"ambient","1","4"
2013-07-18,"Mleaf.modelled",85.1155064824944,"ambient","1","4"
2013-07-19,"Mleaf.modelled",86.3094882752411,"ambient","1","4"
2013-07-20,"Mleaf.modelled",86.2316092084044,"ambient","1","4"
2013-07-21,"Mleaf.modelled",88.3527285494056,"ambient","1","4"
2013-07-22,"Mleaf.modelled",90.6249210698418,"ambient","1","4"
2013-07-23,"Mleaf.modelled",92.5117752049526,"ambient","1","4"
2013-07-24,"Mleaf.modelled",94.0729249713158,"ambient","1","4"
2013-07-25,"Mleaf.modelled",95.7608826789777,"ambient","1","4"
2013-07-26,"Mleaf.modelled",97.5993826102305,"ambient","1","4"
2013-07-27,"Mleaf.modelled",99.3165195835078,"ambient","1","4"
2013-07-28,"Mleaf.modelled",101.09729697125,"ambient","1","4"
2013-07-29,"Mleaf.modelled",102.314529707458,"ambient","1","4"
2013-07-30,"Mleaf.modelled",103.988853738935,"ambient","1","4"
2013-07-31,"Mleaf.modelled",104.793842676101,"ambient","1","4"
2013-08-01,"Mleaf.modelled",104.390342104191,"ambient","1","4"
2013-08-02,"Mleaf.modelled",106.700093676595,"ambient","1","4"
2013-08-03,"Mleaf.modelled",108.449915700512,"ambient","1","4"
2013-08-04,"Mleaf.modelled",110.771318579833,"ambient","1","4"
2013-08-05,"Mleaf.modelled",112.689336008603,"ambient","1","4"
2013-08-06,"Mleaf.modelled",114.917924852158,"ambient","1","4"
2013-08-07,"Mleaf.modelled",116.810174522745,"ambient","1","4"
2013-08-08,"Mleaf.modelled",118.579815644536,"ambient","1","4"
2013-08-09,"Mleaf.modelled",119.294281523026,"ambient","1","4"
2013-08-10,"Mleaf.modelled",121.269623712805,"ambient","1","4"
2013-08-11,"Mleaf.modelled",123.731394115444,"ambient","1","4"
2013-08-12,"Mleaf.modelled",126.137616734353,"ambient","1","4"
2013-08-13,"Mleaf.modelled",127.686744106323,"ambient","1","4"
2013-08-14,"Mleaf.modelled",130.142256383521,"ambient","1","4"
2013-08-15,"Mleaf.modelled",132.260155057186,"ambient","1","4"
2013-08-16,"Mleaf.modelled",134.826862810536,"ambient","1","4"
2013-08-17,"Mleaf.modelled",137.38731961397,"ambient","1","4"
2013-08-18,"Mleaf.modelled",139.61446580799,"ambient","1","4"
2013-08-19,"Mleaf.modelled",142.119020601091,"ambient","1","4"
2013-08-20,"Mleaf.modelled",144.815411529203,"ambient","1","4"
2013-08-21,"Mleaf.modelled",147.409262583091,"ambient","1","4"
2013-08-22,"Mleaf.modelled",149.363342746488,"ambient","1","4"
2013-08-23,"Mleaf.modelled",150.539086028671,"ambient","1","4"
2013-08-24,"Mleaf.modelled",150.810934539806,"ambient","1","4"
2013-08-25,"Mleaf.modelled",153.605133911036,"ambient","1","4"
2013-08-26,"Mleaf.modelled",156.143118867091,"ambient","1","4"
2013-08-27,"Mleaf.modelled",158.617355367201,"ambient","1","4"
2013-08-28,"Mleaf.modelled",161.300893677415,"ambient","1","4"
2013-08-29,"Mleaf.modelled",164.124339355641,"ambient","1","4"
2013-08-30,"Mleaf.modelled",166.390483999945,"ambient","1","4"
2013-08-31,"Mleaf.modelled",168.780350259591,"ambient","1","4"
2013-09-01,"Mleaf.modelled",170.994994206119,"ambient","1","4"
2013-09-02,"Mleaf.modelled",173.645153935968,"ambient","1","4"
2013-09-03,"Mleaf.modelled",176.580794439312,"ambient","1","4"
2013-09-04,"Mleaf.modelled",179.562241450868,"ambient","1","4"
2013-09-05,"Mleaf.modelled",182.557857464183,"ambient","1","4"
2013-09-06,"Mleaf.modelled",185.172281807972,"ambient","1","4"
2013-09-07,"Mleaf.modelled",187.404220123119,"ambient","1","4"
2013-09-08,"Mleaf.modelled",189.610438329669,"ambient","1","4"
2013-09-09,"Mleaf.modelled",190.556544235171,"ambient","1","4"
2013-09-10,"Mleaf.modelled",193.120302465871,"ambient","1","4"
2013-09-11,"Mleaf.modelled",196.388167842078,"ambient","1","4"
2013-09-12,"Mleaf.modelled",200.092349682542,"ambient","1","4"
2013-09-13,"Mleaf.modelled",204.125178741971,"ambient","1","4"
2013-09-14,"Mleaf.modelled",206.925299464341,"ambient","1","4"
2013-09-15,"Mleaf.modelled",208.602025429848,"ambient","1","4"
2013-09-16,"Mleaf.modelled",212.058585502966,"ambient","1","4"
2013-09-17,"Mleaf.modelled",210.55590005698,"ambient","1","4"
2013-09-18,"Mleaf.modelled",214.146022395342,"ambient","1","4"
2013-09-19,"Mleaf.modelled",217.82125457959,"ambient","1","4"
2013-09-20,"Mleaf.modelled",222.57658086614,"ambient","1","4"
